Time (s),Section,Text,Anger Score,RMS,Brightness,Motion
19.2,,,0.9000,0.047549,77.577833,1.205121
19.3,,,0.9000,0.046871,76.895173,1.706832
19.4,,,0.9000,0.046192,77.355490,2.208544
19.5,,,0.9000,0.045514,59.386536,2.710255
19.6,,,0.9000,0.044835,59.374519,3.211967
19.7,,,0.9000,0.044157,72.470687,3.713678
19.8,,,0.9000,0.043478,76.024233,4.215390
19.9,,,0.9000,0.042800,59.332942,4.717101
20.0,,,0.9000,0.042121,63.591724,5.218813
20.1,,,0.9000,0.039759,52.210014,4.731861
20.2,,,0.9000,0.037398,56.146762,4.244908
20.3,,,0.9000,0.035036,55.200959,3.757956
20.4,,,0.9000,0.032674,52.694245,3.271004
20.5,,,0.9000,0.030313,52.323316,2.784051
20.6,,,0.9000,0.027951,54.306745,2.297099
20.7,,,0.9000,0.025589,54.350020,1.810147
20.8,,,0.9000,0.023227,54.284348,1.323194
20.9,,,0.9000,0.020866,36.062931,0.836242
21.0,,,0.9000,0.018504,36.101184,0.349290
21.1,,,0.9000,0.019274,36.461380,0.878817
21.2,,,0.9000,0.020044,38.765496,1.408345
21.3,,,0.9000,0.020813,99.106860,1.937873
21.4,,,0.9000,0.021583,50.855645,2.467401
21.5,,,0.9000,0.022353,50.858816,2.996928
21.6,,,0.9000,0.023123,50.826118,3.526456
21.7,,,0.9000,0.023893,50.740629,4.055984
21.8,,,0.9000,0.024663,71.268544,4.585512
21.9,,,0.9000,0.025432,59.760897,5.115039
22.0,,,0.9000,0.026202,42.975121,5.644567
22.1,,,0.9000,0.025028,39.155611,5.082180
22.2,,,0.9000,0.023854,62.934168,4.519793
22.3,,,0.9000,0.022679,78.288395,3.957406
22.4,,,0.9000,0.021505,77.854038,3.395019
22.5,,,0.9000,0.020330,77.862913,2.832632
22.6,,,0.9000,0.019156,77.863803,2.270245
22.7,,,0.9000,0.017982,77.863433,1.707858
22.8,,,0.9000,0.016807,67.841909,1.145471
22.9,,,0.9000,0.015633,68.336577,0.583084
23.0,,,0.9000,0.014459,69.365283,0.020697
23.1,,,0.9000,0.019073,71.086406,0.060357
23.2,,,0.9000,0.023688,72.698432,0.100017
23.3,,,0.9000,0.028303,73.515168,0.139677
23.4,,,0.9000,0.032918,79.889682,0.179337
23.5,,,0.9000,0.037532,80.034608,0.218997
23.6,,,0.9000,0.042147,80.007510,0.258657
23.7,,,0.9000,0.046762,129.799604,0.298317
23.8,,,0.9000,0.051377,123.162721,0.337977
23.9,,,0.9000,0.055991,128.889164,0.377637
24.0,,,0.9000,0.060606,55.937167,0.417297
24.1,,,0.9000,0.058102,46.522285,0.837849
24.2,,,0.9000,0.055598,42.702183,1.258400
24.3,,,0.9000,0.053093,42.305348,1.678952
24.4,,,0.9000,0.050589,45.745296,2.099503
24.5,,,0.9000,0.048085,51.536729,2.520055
24.6,,,0.9000,0.045581,58.411120,2.940606
24.7,,,0.9000,0.043076,64.314620,3.361158
24.8,,,0.9000,0.040572,60.806164,3.781710
24.9,,,0.9000,0.038068,57.752205,4.202261
25.0,,,0.9000,0.035563,45.115909,4.622813
25.1,,,0.9000,0.034631,31.191080,4.169447
25.2,,,0.9000,0.033699,31.385887,3.716082
25.3,,,0.9000,0.032767,31.435996,3.262717
25.4,,,0.9000,0.031835,31.240395,2.809352
25.5,,,0.9000,0.030903,31.012623,2.355986
25.6,,,0.9000,0.029971,30.811353,1.902621
25.7,,,0.9000,0.029039,30.717947,1.449256
25.8,,,0.9000,0.028106,59.733006,0.995891
25.9,,,0.9000,0.027174,59.706748,0.542526
26.0,,,0.9000,0.026242,59.493442,0.089160
26.1,,,0.9000,0.027213,59.332438,0.087825
26.2,,,0.9000,0.028184,34.721908,0.086489
26.3,,,0.9000,0.029155,36.057350,0.085153
26.4,,,0.9000,0.030126,36.199363,0.083818
26.5,,,0.9000,0.031098,36.250042,0.082482
26.6,,,0.9000,0.032069,36.218164,0.081146
26.7,,,0.9000,0.033040,71.227471,0.079811
26.8,,,0.9000,0.034011,60.871964,0.078475
26.9,,,0.9000,0.034982,68.338612,0.077140
27.0,,,0.9000,0.035953,75.164241,0.075804
27.1,,,0.9000,0.036679,48.833452,0.076713
27.2,,,0.9000,0.037404,58.111018,0.077622
27.3,,,0.9000,0.038130,79.113913,0.078531
27.4,,,0.9000,0.038856,103.921922,0.079440
27.5,,,0.9000,0.039582,81.267873,0.080349
27.6,,,0.9000,0.040307,85.782731,0.081258
27.7,,,0.9000,0.041033,62.316080,0.082167
27.8,,,0.9000,0.041759,79.622951,0.083076
27.9,,,0.9000,0.042485,93.098122,0.083985
28.0,,,0.9000,0.043211,63.974429,0.084894
28.1,,,0.9000,0.042776,69.949529,0.085428
28.2,,,0.9000,0.042341,113.020970,0.085962
28.3,,,0.9000,0.041907,65.137978,0.086496
28.4,,,0.9000,0.041472,51.441687,0.087031
28.5,,,0.9000,0.041038,2.000163,0.087565
28.6,,,0.9000,0.040603,2.000382,0.088099
28.7,,,0.9000,0.040169,78.993971,0.088633
28.8,,,0.9000,0.039734,100.928123,0.089168
28.9,,,0.9000,0.039299,110.895899,0.089702
29.0,,,0.9000,0.038865,59.096766,0.090236
29.1,,,0.9000,0.039260,31.825942,0.092135
29.2,,,0.9000,0.039654,81.627027,0.094034
29.3,,,0.9000,0.040049,81.593010,0.095932
29.4,,,0.9000,0.040443,77.864266,0.097831
29.5,,,0.9000,0.040838,57.546454,0.099730
29.6,,,0.9000,0.041233,38.771279,0.101628
29.7,,,0.9000,0.041627,62.052902,0.103527
29.8,,,0.9000,0.042022,74.081838,0.105426
29.9,,,0.9000,0.042417,68.283490,0.107324
30.0,,,0.9000,0.042811,72.801384,0.109223
30.1,,,0.9000,0.041293,68.203988,0.111096
30.2,,,0.9000,0.039775,66.535042,0.112970
30.3,,,0.9000,0.038257,51.029439,0.114843
30.4,,,0.9000,0.036739,41.649415,0.116716
30.5,,,0.9000,0.035221,79.822649,0.118589
30.6,,,0.9000,0.033703,80.398909,0.120462
30.7,,,0.9000,0.032185,80.336660,0.122336
30.8,,,0.9000,0.030667,80.795759,0.124209
30.9,,,0.9000,0.029149,80.615560,0.126082
31.0,,,0.9000,0.027631,41.556379,0.127955
31.1,,,0.9000,0.029423,63.082594,0.445228
31.2,,,0.9000,0.031215,63.428621,0.762501
31.3,,,0.9000,0.033007,63.940095,1.079774
31.4,,,0.9000,0.034799,69.425706,1.397047
31.5,,,0.9000,0.036591,61.082951,1.714319
31.6,,,0.9000,0.038383,47.719170,2.031592
31.7,,,0.9000,0.040174,49.826040,2.348865
31.8,,,0.9000,0.041966,50.880846,2.666138
31.9,,,0.9000,0.043758,60.491224,2.983411
32.0,,,0.9000,0.045550,62.224341,3.300684
32.1,,,0.9000,0.042200,39.791016,4.441438
32.2,,,0.9000,0.038851,34.163538,5.582192
32.3,,,0.9000,0.035502,34.101172,6.722945
32.4,,,0.9000,0.032152,75.463076,7.863699
32.5,,,0.9000,0.028803,77.405936,9.004453
32.6,,,0.9000,0.025453,52.352261,10.145207
32.7,,,0.9000,0.022104,52.354630,11.285961
32.8,,,0.9000,0.018754,52.926202,12.426715
32.9,,,0.9000,0.015405,53.539729,13.567469
33.0,,,0.9000,0.012055,75.397113,14.708223
33.1,,,0.9000,0.012198,57.348281,13.905786
33.2,,,0.9000,0.012341,75.112588,13.103349
33.3,,,0.9000,0.012484,74.978629,12.300912
33.4,,,0.9000,0.012627,73.469312,11.498475
33.5,,,0.9000,0.012770,45.640967,10.696038
33.6,,,0.9000,0.012913,47.752655,9.893601
33.7,,,0.9000,0.013056,48.798122,9.091164
33.8,,,0.9000,0.013199,59.037824,8.288727
33.9,,,0.9000,0.013342,59.063377,7.486290
34.0,,,0.9000,0.013485,58.159680,6.683853
