Time (s),RMS
285.0,0.060551405
286.0,0.1060999
287.0,0.09796144
288.0,0.062356245
289.0,0.04787873
290.0,0.07102331
291.0,0.058700137
292.0,0.09635678
293.0,0.10133715
294.0,0.0961101
295.0,0.06298235
296.0,0.0380585
297.0,0.05449628
298.0,0.037485294
299.0,0.07435944
300.0,0.08228042
301.0,0.07046472
302.0,0.061655983
303.0,0.036303367
304.0,0.08650149
305.0,0.07187625
306.0,0.06112483
307.0,0.02568202
308.0,0.07000478
309.0,0.100402184
310.0,0.05790797
311.0,0.04242025
312.0,0.09076245
313.0,0.059060767
314.0,0.07341487
315.0,0.0503838
316.0,0.038384534
317.0,0.048349183
318.0,0.06347495
319.0,0.06536171
320.0,0.051521048
321.0,0.059674542
322.0,0.056453146
323.0,0.049502175
324.0,0.038228914
325.0,0.06302386
326.0,0.052797962
327.0,0.05851744
328.0,0.054382093
329.0,0.08471788
330.0,0.04220595
331.0,0.10899246
332.0,0.08416063
333.0,0.10450653
334.0,0.13556123
335.0,0.09400717
336.0,0.06309367
337.0,0.058328763
338.0,0.058892597
339.0,0.049913436
340.0,0.06660724
341.0,0.05372821
342.0,0.061051566
343.0,0.086455114
344.0,0.04851083
345.0,0.124860026
346.0,0.077589124
347.0,0.06429172
348.0,0.074001245
349.0,0.07884049
350.0,0.085095465
351.0,0.0750902
352.0,0.09344191
353.0,0.06941192
354.0,0.08059119
355.0,0.068394564
356.0,0.06601433
357.0,0.08136453
358.0,0.071309
359.0,0.05103265
360.0,0.04087315
361.0,0.0432992
362.0,0.047272988
363.0,0.03590978
364.0,0.035430107
365.0,0.043895446
366.0,0.09621161
367.0,0.04062114
368.0,0.03574956
369.0,0.10872015
370.0,0.05613648
371.0,0.058750052
372.0,0.08316245
373.0,0.06503233
374.0,0.061355535
375.0,0.042281408
376.0,0.03573711
377.0,0.041758288
378.0,0.038158804
379.0,0.026164886
380.0,0.051203042
381.0,0.05040567
382.0,0.057123184
383.0,0.092646636
384.0,0.016947707
385.0,0.012412857
386.0,0.009349625
387.0,0.002473498
388.0,0.011686658
389.0,0.01241953
390.0,0.0014531084
391.0,0.029181037
392.0,0.02103425
393.0,0.0756203
394.0,0.08880196
395.0,0.084767684
396.0,0.05742266
397.0,0.073018305
398.0,0.1098697
399.0,0.11483835
400.0,0.10352496
401.0,0.092834525
402.0,0.09288157
403.0,0.085438065
404.0,0.10917512
405.0,0.091259256
406.0,0.058483902
407.0,0.044974007
408.0,0.09787216
409.0,0.10058758
410.0,0.04981233
411.0,0.045198835
412.0,0.04528571
413.0,0.05959552
414.0,0.06658203
415.0,0.06036929
416.0,0.05628282
417.0,0.045715038
418.0,0.06705161
419.0,0.049990907
420.0,0.04181914
421.0,0.07633163
422.0,0.06711576
423.0,0.04619202
424.0,0.028959349
425.0,0.017985655
426.0,0.01565981
427.0,0.0093323765
428.0,0.0077298447
429.0,0.007087842
430.0,0.08672301
431.0,0.0894101
432.0,0.08393154
433.0,0.06810606
434.0,0.104507044
435.0,0.13956584
436.0,0.12633033
437.0,0.12939757
438.0,0.103728026
439.0,0.099684276
440.0,0.15225539
441.0,0.12803121
442.0,0.16717112
443.0,0.12828949
444.0,0.1059659
445.0,0.10266487
446.0,0.08020119
447.0,0.11967327
448.0,0.07184494
449.0,0.09076881
450.0,0.1012393
451.0,0.10884321
452.0,0.062277954
453.0,0.068240315
454.0,0.067325495
455.0,0.10250994
456.0,0.061498992
457.0,0.0669493
458.0,0.06211109
459.0,0.069912694
460.0,0.080480985
461.0,0.07539493
462.0,0.07931151
463.0,0.08942807
464.0,0.06785652
465.0,0.059066
466.0,0.06144205
467.0,0.073126264
468.0,0.085435
469.0,0.11377759
470.0,0.06753124
471.0,0.100975156
472.0,0.080739334
473.0,0.061076123
474.0,0.12960833
475.0,0.13411757
476.0,0.1292757
477.0,0.09841003
478.0,0.079057574
479.0,0.081482105
480.0,0.084547795
481.0,0.071649775
482.0,0.05932649
483.0,0.08793404
484.0,0.07261502
485.0,0.10080136
486.0,0.075495206
487.0,0.07128611
488.0,0.060856763
489.0,0.13176772
490.0,0.11569703
491.0,0.09064888
492.0,0.13007689
493.0,0.11237154
494.0,0.051770583
495.0,0.07993417
496.0,0.07245338
497.0,0.04166043
498.0,0.06396903
499.0,0.11080894
500.0,0.057483695
501.0,0.054810606
502.0,0.072622135
503.0,0.07275866
504.0,0.03909772
505.0,0.04339013
506.0,0.045252245
507.0,0.07819195
508.0,0.076241665
509.0,0.05991045
510.0,0.09682461
511.0,0.049773898
512.0,0.044755615
513.0,0.053295124
514.0,0.06355396
515.0,0.06747223
516.0,0.050747596
517.0,0.066635385
518.0,0.10253797
519.0,0.0856996
520.0,0.08530699
521.0,0.067567155
522.0,0.0934355
523.0,0.09857135
524.0,0.10932758
525.0,0.09150234
526.0,0.08227679
527.0,0.110608816
528.0,0.09855162
529.0,0.07846412
530.0,0.10623238
531.0,0.09812429
532.0,0.060323264
533.0,0.061817326
534.0,0.06597274
535.0,0.061709985
536.0,0.045073587
537.0,0.054633513
538.0,0.05991244
539.0,0.06584953
540.0,0.061175376
541.0,0.061154418
542.0,0.07119872
543.0,0.06565804
544.0,0.050365724
545.0,0.079512924
546.0,0.07960032
547.0,0.10322851
548.0,0.16071421
549.0,0.11821698
550.0,0.092491545
551.0,0.08753983
552.0,0.056247756
553.0,0.07846471
554.0,0.03654094
555.0,0.07054012
556.0,0.06513057
557.0,0.07476666
558.0,0.053458948
559.0,0.014588527
560.0,0.059441887
561.0,0.01451131
562.0,0.06383532
563.0,0.06931977
564.0,0.047235396
565.0,0.031004172
566.0,0.01700731
567.0,0.03569527
568.0,0.036908545
569.0,0.0074573434
570.0,0.046121407
571.0,0.08811819
572.0,0.023616686
573.0,0.07368895
574.0,0.017336287
575.0,0.036587544
576.0,0.03377043
577.0,0.073787086
578.0,0.06101932
579.0,0.07034017
580.0,0.061201777
581.0,0.10313304
582.0,0.075674765
583.0,0.043136068
584.0,0.059113313
585.0,0.0738878
586.0,0.07534103
587.0,0.04138283
588.0,0.07962414
589.0,0.09212851
590.0,0.094382845
591.0,0.06495054
592.0,0.07649896
593.0,0.07138485
594.0,0.036955077
595.0,0.02749923
596.0,0.07971992
597.0,0.027725015
598.0,0.09010853
599.0,0.08167865
600.0,0.10538523
601.0,0.07906573
602.0,0.10150565
603.0,0.07229324
604.0,0.051926017
605.0,0.043633733
606.0,0.0630885
607.0,0.035521895
608.0,0.01451775
609.0,0.004447633
610.0,0.0007418431
611.0,0.017701583
612.0,0.022985945
613.0,0.01793304
614.0,0.04260815
615.0,0.059106298
616.0,0.058312435
617.0,0.0638014
618.0,0.034531914
619.0,0.006279097
620.0,0.004933693
621.0,0.04656031
622.0,0.024796108
623.0,0.051000655
624.0,0.047432113
625.0,0.009250311
626.0,0.029439323
627.0,0.036024947
628.0,0.07570279
629.0,0.03276674
630.0,0.04654878
631.0,0.009565875
632.0,0.06794272
633.0,0.05121394
634.0,0.005144023
635.0,0.023617309
636.0,0.036968213
637.0,0.01846023
638.0,0.05825658
639.0,0.061875362
640.0,0.060688857
641.0,0.05355815
642.0,0.0052408664
643.0,0.0053802286
644.0,0.016727045
645.0,0.010841445
646.0,0.029187348
647.0,0.0377775
648.0,0.012719356
649.0,0.044338748
650.0,0.044791356
651.0,0.017401818
652.0,0.01983718
653.0,0.0117217535
654.0,0.010953901
655.0,0.07704996
656.0,0.023222584
657.0,0.025710352
658.0,0.018216291
659.0,0.024617765
660.0,0.05858566
661.0,0.08687674
662.0,0.036488175
663.0,0.010224745
664.0,0.031715307
665.0,0.039645817
666.0,0.034153473
667.0,0.041631415
668.0,0.034320705
669.0,0.026022881
670.0,0.026269123
671.0,0.027144805
672.0,0.07299874
673.0,0.04676584
674.0,0.06380401
675.0,0.05326974
676.0,0.06200171
677.0,0.028285475
678.0,0.055064432
679.0,0.08087648
680.0,0.02734506
681.0,0.056704264
682.0,0.028508391
683.0,0.01948857
684.0,0.059784494
685.0,0.015710926
686.0,0.070596285
687.0,0.06910367
688.0,0.043514356
689.0,0.036512654
690.0,0.020075042
691.0,0.07383668
692.0,0.07891824
693.0,0.022053493
694.0,0.035123657
695.0,0.014795825
696.0,0.043886617
697.0,0.022028252
698.0,0.01802555
699.0,0.12128599
700.0,0.10986832
701.0,0.07776817
702.0,0.10995294
703.0,0.04364513
704.0,0.01361088
705.0,0.07055153
706.0,0.07550598
