Time (s),Motion
529.0,2.0374079
530.0,1.6646216
531.0,0.5506015
532.0,0.32747215
533.0,1.0008463
534.0,0.98690623
535.0,1.7540437
536.0,4.421393
537.0,1.7808881
538.0,0.3434947
539.0,0.19575237
540.0,0.4030452
541.0,1.2288595
542.0,4.2611103
543.0,3.8999312
544.0,2.853496
545.0,0.02401977
546.0,0.0066029434
547.0,4.8952165
548.0,7.830088
549.0,7.089023
550.0,7.236756
551.0,4.773267
552.0,2.7731748
553.0,2.1161458
554.0,2.416946
555.0,1.9985263
556.0,2.3628378
557.0,3.2289085
558.0,2.7758284
559.0,1.3761086
560.0,0.2619927
561.0,3.3856523
562.0,3.2577891
563.0,2.1394603
564.0,2.7872038
565.0,2.685719
566.0,1.3846186
567.0,4.919054
568.0,7.3689575
569.0,6.600689
570.0,4.616939
571.0,3.595666
572.0,3.7899938
573.0,4.039218
574.0,0.011282857
575.0,0.0078081535
576.0,4.684029
577.0,0.3460353
578.0,0.37581146
579.0,6.9177194
580.0,5.1899605
581.0,4.4391136
582.0,6.0806637
583.0,3.6114063
584.0,0.124386646
585.0,0.6757085
586.0,1.0179883
587.0,1.9568048
588.0,1.1244501
589.0,0.058735184
590.0,0.24116239
591.0,3.0891266
592.0,8.6955185
593.0,5.469299
594.0,3.3344064
595.0,2.3391879
596.0,1.2022797
597.0,1.1703032
598.0,2.9060347
599.0,2.6576126
600.0,1.4024254
601.0,1.5997479
602.0,5.6721654
603.0,0.012772327
604.0,1.6253188
605.0,1.6499673
606.0,0.075048946
607.0,2.2376482
608.0,5.101281
609.0,5.0219684
610.0,2.2467554
611.0,5.42999
612.0,8.777086
613.0,5.0865445
614.0,2.3335555
615.0,2.4011354
616.0,2.314899
617.0,0.21627931
618.0,0.21671852
619.0,2.0367613
620.0,0.56742746
621.0,2.8861432
622.0,4.4891286
623.0,0.048118994
624.0,0.06542286
625.0,0.030689847
626.0,8.55376
627.0,0.012945224
628.0,5.5014167
629.0,0.8248646
630.0,0.050967135
631.0,0.016781826
632.0,0.329534
633.0,0.56851774
634.0,5.220724
635.0,0.19120294
636.0,0.12817419
637.0,0.22286406
638.0,0.24023573
639.0,0.21584068
640.0,0.16592723
641.0,0.18314281
642.0,0.17614898
643.0,3.1757631
644.0,3.4233148
645.0,2.8403182
646.0,2.7758996
647.0,2.4894412
648.0,3.3265307
649.0,3.9733453
650.0,0.18858795
651.0,0.2319502
652.0,0.26494598
653.0,2.126054
654.0,1.1256956
655.0,2.1282456
656.0,1.8412263
657.0,2.11574
658.0,1.6336827
659.0,0.42654425
660.0,0.13154553
661.0,1.5151874
662.0,2.3858204
663.0,3.3938906
664.0,0.022299899
665.0,2.5165367
666.0,1.648155
667.0,2.3326714
668.0,2.5635908
669.0,1.8376836
670.0,3.6120212
671.0,3.9946144
672.0,3.5996706
673.0,3.1984954
674.0,0.03778435
675.0,2.4401531
676.0,4.712271
677.0,5.4443345
678.0,3.803217
679.0,2.9438255
680.0,2.8209136
681.0,4.4941206
682.0,6.4350944
683.0,4.652008
684.0,0.13231434
685.0,1.0939143
686.0,4.9239936
687.0,5.8081374
688.0,5.0509386
689.0,4.372385
690.0,5.685991
691.0,3.4419444
692.0,6.211209
693.0,10.669696
694.0,3.1784468
695.0,2.2434034
696.0,8.655232
697.0,3.743116
698.0,2.8864765
699.0,9.573126
700.0,4.361035
701.0,1.9999851
702.0,5.246438
703.0,4.741148
704.0,4.25927
705.0,2.1099875
706.0,5.3872724
707.0,2.129595e-05
708.0,0.19500296
709.0,0.49510947
710.0,0.7317763
711.0,1.5012215
712.0,1.5481358
713.0,1.4809519
714.0,1.7861629
715.0,1.6820307
716.0,1.538675
717.0,1.182067
718.0,0.95102966
719.0,2.701828
720.0,2.5975533
721.0,0.39051694
722.0,1.638493
723.0,1.5798241
724.0,0.9328221
725.0,0.83822215
726.0,2.1738727
727.0,1.9320499
728.0,1.3293847
729.0,4.532377
730.0,12.460797
731.0,12.068919
732.0,8.056711
733.0,7.5534945
734.0,6.0732226
735.0,7.4777336
736.0,6.1590776
737.0,4.255998
738.0,6.543041
739.0,5.299929
740.0,7.2359424
741.0,1.5896219
742.0,2.4092813
743.0,22.766888
744.0,4.1411796
745.0,16.113153
746.0,0.0063557876
747.0,4.3203425
748.0,14.777185
749.0,6.436268
750.0,6.050825
751.0,5.0439854
752.0,17.618277
753.0,0.68850935
754.0,0.48886198
755.0,0.6736541
756.0,0.084718704
757.0,0.33122104
758.0,0.67988354
759.0,0.4466031
760.0,2.3449016
761.0,4.344078
762.0,3.9893293
763.0,21.153708
764.0,8.098734
765.0,0.06573413
766.0,0.011160787
767.0,4.9176207
768.0,0.61744505
769.0,3.510666
770.0,2.724129
771.0,4.143525
772.0,4.2269387
773.0,5.5404444
774.0,4.467241
775.0,1.1335561
776.0,1.1147811
777.0,2.8920264
778.0,4.088091
779.0,3.9879558
780.0,3.4272768
781.0,3.119106
782.0,3.2693546
783.0,3.7913675
784.0,3.2468522
785.0,2.6515062
786.0,5.383887
787.0,6.3185496
788.0,4.6011796
789.0,2.7897172
790.0,1.5056798
791.0,1.4396063
792.0,2.3736782
793.0,4.0102334
794.0,3.4940786
795.0,2.6665509
796.0,16.063402
797.0,16.592508
798.0,1.5023804
799.0,0.3929662
800.0,0.42883515
801.0,3.5256515
802.0,5.324796
803.0,4.834449
804.0,3.2289581
805.0,1.6617483
806.0,0.14886184
807.0,0.8889437
808.0,1.691294
809.0,5.997762
810.0,3.617737
811.0,1.6773605
812.0,0.9613033
813.0,0.9536752
814.0,0.348166
815.0,0.9112253
816.0,0.3332518
817.0,7.625528
818.0,1.7792081
819.0,1.8789351
820.0,1.7306613
821.0,1.9114742
822.0,3.2530644
823.0,6.7177043
824.0,3.8486636
825.0,2.5113564
826.0,4.3655777
827.0,4.988498
828.0,7.560087
829.0,6.105392
830.0,1.8428358
831.0,0.24882194
832.0,1.9836195
833.0,3.0192783
834.0,6.27238
835.0,6.235165
836.0,3.034722
837.0,0.2937685
838.0,0.55899817
839.0,1.0323032
840.0,1.0327432
841.0,1.0225717
842.0,0.9145614
843.0,0.1762316
844.0,0.31797683
845.0,0.34783825
846.0,0.64109164
847.0,0.18119772
848.0,0.862175
849.0,6.9484916
850.0,7.416583
851.0,1.1633931
852.0,2.8790913
853.0,4.8197665
854.0,2.1275802
855.0,0.15775116
856.0,0.34412262
857.0,1.1539872
858.0,0.2208035
859.0,0.2784314
860.0,1.9159577
861.0,4.2144556
862.0,4.5094304
863.0,4.5492735
864.0,4.5375986
865.0,0.024981463
866.0,0.019669479
867.0,0.022485431
868.0,0.011343992
869.0,6.2112346
870.0,6.927757
871.0,5.645107
872.0,0.7563354
873.0,0.14227624
874.0,0.16852115
875.0,0.040718466
876.0,0.4725934
877.0,1.2606587
878.0,5.1681423
879.0,6.1521826
880.0,6.497642
881.0,7.042764
882.0,6.851178
883.0,4.9374695
884.0,1.2376761
885.0,1.5821738
886.0,0.41180524
887.0,0.35670933
888.0,0.36883882
889.0,0.19418047
890.0,0.043983515
891.0,0.023170333
892.0,0.7072982
893.0,1.9562968
894.0,1.0518314
895.0,0.67342234
896.0,0.5045372
897.0,0.27248994
898.0,1.7335721
899.0,3.1259677
900.0,2.941893
901.0,2.848713
902.0,2.7416306
903.0,1.231185
904.0,0.7479586
905.0,3.4094746
906.0,4.1125755
907.0,2.2536113
908.0,2.0966225
909.0,2.3121054
910.0,1.4831601
911.0,4.1749406
912.0,4.493899
913.0,2.9609601
914.0,2.9330757
915.0,3.7199569
916.0,5.776154
917.0,5.6388454
918.0,3.4324327
919.0,6.851011
920.0,5.3001084
921.0,2.0375798
922.0,0.34154758
923.0,0.69543743
924.0,1.8598937
925.0,1.8539467
926.0,1.8071346
927.0,1.7929558
928.0,1.8831742
929.0,1.0463275
930.0,0.44283348
931.0,1.7293289
932.0,3.4631486
933.0,7.5331874
934.0,3.3753834
935.0,1.7727393
936.0,2.476484
937.0,0.13886552
938.0,0.070541054
939.0,0.09318874
940.0,0.064640805
941.0,0.08692948
942.0,0.6954544
943.0,0.76016873
944.0,2.0160382
945.0,1.7356762
946.0,1.5810072
947.0,1.5199708
948.0,1.0087831
949.0,1.2232271
950.0,4.1759996
951.0,7.608731
952.0,3.4720943
953.0,0.4539894
954.0,0.26704475
955.0,2.6005394
956.0,4.6111884
957.0,3.8747585
958.0,6.609325
959.0,5.94943
960.0,2.9783292
961.0,0.08108362
962.0,1.0619367
963.0,2.2186453
964.0,2.4034505
965.0,1.689403
966.0,0.6609819
967.0,1.4631628
968.0,1.2315482
969.0,2.8798192
970.0,3.2750027
971.0,3.065439
972.0,3.5795424
973.0,2.902799
974.0,2.988152
975.0,2.323331
976.0,1.9806947
977.0,1.2493476
978.0,3.6777046
979.0,3.454263
